id,name,birthdate,deathdate
6604,Rich Cowan,,
6605,Rich Moore,2026-05-10,
6606,Rich Pecci,2026-05-01,
6607,Richard Anderson,,
6608,Richard Attenborough,2026-08-29,2026-08-24
6609,Richard Ayoade,2026-06-12,
6610,Richard Basehart,2026-08-31,2026-09-17
6611,Richard Benjamin,2026-05-22,
6612,Richard Beymer,2026-02-20,
6613,Richard Boddington,,
6614,Richard Brake,2026-02-21,2026-03-17
6615,Richard Brancatisano,2026-10-29,
6616,Richard Briers,2026-01-14,2026-02-17
6617,Richard Brooker,2026-11-20,2026-04-08
6618,Richard Brooks,2026-05-18,2026-03-11
6619,Richard Bull,2026-06-26,2026-02-03
6620,Richard Burgi,2026-07-30,
6621,Richard Burton,2026-11-10,2026-08-05
6622,Richard Cabral,,
6623,Richard Cawthorne,2026-12-03,
6624,Richard Cetrone,,
6625,Richard Coyle,2026-02-27,
6626,Richard Crenna,2026-11-30,2026-01-17
6627,Richard Curtis,2026-11-08,
6628,Richard Dawson,2026-11-20,2026-06-02
6629,Richard Donner,2026-04-24,
6630,Richard Dutcher,,
6631,Richard Dysart,2026-03-30,2026-04-05
6632,Richard E. Grant,2026-05-05,
6633,Richard Epcar,2026-04-29,
6634,Richard Eyre,2026-03-28,
6635,Richard Farnsworth,2026-09-01,2026-10-06
6636,Richard Fleischer,2026-12-08,2026-03-25
6637,Richard Gant,2026-05-05,
6638,Richard Glatzer,2026-01-28,2026-03-10
6639,Richard Glover,,
6640,Richard Graham,,
6641,Richard Howland,,
6642,Richard J. Lewis,,
6643,Richard Jaeckel,2026-10-10,2026-06-14
6644,Richard Jewell,,
6645,Richard Johnson,,
6646,Richard Kelly,2026-03-28,
6647,Richard Kwietniowski,2026-03-17,
6648,Richard LaGravenese,2026-10-30,
6649,Richard Lawson,2026-11-20,2026-06-02
6650,Richard Lester,2026-01-19,
6651,Richard Libertini,2026-05-21,2026-01-07
6652,Richard Linklater,2026-07-30,
6653,Richard Loncraine,2026-10-20,
6654,Richard Lynch,2026-02-12,2026-06-19
6655,Richard Marquand,2026-09-22,2026-09-04
6656,Richard Masur,2026-11-20,
6657,Richard Moll,2026-01-13,
6658,Richard Montoya,,
6659,Richard Norton,2026-06-12,
6660,Richard Portnow,,
6661,Richard Raymond,,
6662,Richard Rich,2026-09-09,
6663,Richard Roundtree,2026-07-09,
6664,Richard Roxburgh,2026-01-23,
6665,Richard Sammel,2026-08-29,2026-08-24
6666,Richard Schenkman,2026-03-06,
6667,Richard Schiff,2026-05-27,
6668,Richard Shepard,,
6669,Richard Spore,2026-03-23,
6670,Richard T. Jones,2026-11-12,2026-12-12
6671,Richard Thomas,2026-06-13,
6672,Richard Tyson,2026-02-13,
6673,Richard Wallace,2026-02-12,
6674,Richard Williams,2026-11-10,
6675,Richard Wilson,2026-07-09,
6676,Rick Aviles,2026-10-14,2026-03-17
6677,Rick Bieber,,
6678,Rick de Oliveira,2026-07-23,
6679,Rick Dial,2026-03-09,2026-05-28
6680,Rick Famuyiwa,2026-06-18,
6681,Rick Fox,,
6682,Rick Friedberg,,
6683,Rick Gomez,2026-06-01,
6684,Rick Gonzalez,2026-06-30,
6685,Rick Hoffman,2026-06-12,
6686,Rick Macy,2026-10-18,
6687,Rick Rosenthal,2026-06-15,
6688,Rick Rossovich,2026-08-28,
6689,Rick Worthy,2026-03-12,
6690,Rick Yune,2026-08-22,
6691,Ricki Stern,,
6692,Ricky Catter,,
6693,Ricky Gervais,2026-06-25,
6694,Ricky Jay,,
6695,Ricky Martin,2026-12-24,
6696,Ricky Schroder,2026-04-13,
6697,Ridley Scott,2026-11-30,
6698,Rie Miyazawa,2026-04-06,
6699,Rie Rasmussen,2026-02-14,
6700,Rijk de Gooyer,2026-12-17,2026-11-02
6701,Riki Lindhome,2026-03-05,
6702,Rila Fukushima,,
6703,Riley Smith,2026-04-12,
6704,Riley Thomas Stewart,,
6705,Ringo Lam,,
6706,Ringo Starr,2026-07-07,
6707,Rip Torn,2026-02-06,
6708,Risa Bramon Garcia,,
6709,Rita Davies,,
6710,Rita Hayworth,2026-10-17,2026-05-14
6711,Rita Maiden,,
6712,Rita Merson,,
6713,Rita Moreno,2026-12-11,
6714,Rita Wilson,2026-10-26,
6715,Ritchie Coster,2026-07-01,
6716,Ritchie Montgomery,,
6717,Riteish Deshmukh,2026-12-17,
6718,Ritesh Batra,2026-06-12,
6719,Riz Ahmed,2026-12-01,
6720,Rizwan Manji,2026-10-17,
6721,Rob Bowman,2026-05-15,
6722,Rob Brown,,
6723,Rob Brydon,2026-05-03,
6724,Rob Campbell,,
6725,Rob Cohen,2026-07-15,
6726,Rob Hawk,,
6727,Rob Hedden,,
6728,Rob Huebel,2026-06-04,
6729,Rob Jarvis,,
6730,Rob Letterman,,
6731,Rob Marshall,2026-10-17,
6732,Rob McElhenney,2026-04-14,
6733,Rob McKittrick,,
6734,Rob Minkoff,,
6735,Rob Moran,,
6736,Rob Morrow,2026-09-21,
6737,Rob Paulsen,2026-03-11,
6738,Rob Pritts,,
6739,Rob Reiner,2026-03-06,
6740,Rob Riggle,2026-04-21,
6741,Rob Schmidt,2026-09-25,
6742,Rob Zombie,2026-05-06,
6743,Robb Wells,,
6744,Robbie Barnes,2026-08-06,
6745,Robbie Kay,2026-09-13,
6746,Robby Henson,2026-01-21,
6747,Robert Adetuyi,,
6748,Robert Altman,2026-02-20,2026-11-20
6749,Robert Amaya,,
6750,Robert B. Weide,2026-06-20,
6751,Robert Baker,,
6752,Robert Beltran,2026-11-19,
6753,Robert Ben Garant,2026-09-14,
6754,Robert Bennett,,
6755,Robert Blake,2026-09-18,
6756,Robert Butler,2026-11-17,
6757,Robert C. Cooper,2026-10-14,
6758,Robert Capron,2026-07-09,
6759,Robert Cary,2026-12-11,
6760,Robert Clohessy,2026-06-10,
6761,Robert Costanzo,,
6762,Robert D. Webb,2026-09-29,
6763,Robert Davi,2026-06-26,
6764,Robert De Niro,2026-08-17,
6765,Robert Downey Jr.,2026-04-04,
6766,Robert Duvall,2026-01-05,
6767,Robert Eggers,,
6768,Robert Fontaine,2026-01-19,2026-05-13
6769,Robert Forster,2026-07-13,
6770,Robert Foxworth,2026-11-01,
6771,Robert Greenwald,2026-08-28,
6772,Robert Hall,,
6773,Robert Harmon,,
6774,Robert Heath,,
6775,Robert Hobbs,,
6776,Robert Iscove,2026-07-04,
6777,Robert J. Wilke,2026-05-18,2026-03-28
6778,Robert John Burke,2026-09-12,
6779,Robert Kennedy Jr.,2026-01-17,
6780,Robert Kenner,,
6781,Robert Lee King,,
6782,Robert Longstreet,,
6783,Robert Lopez,2026-02-23,
6784,Robert Lorenz,,
6785,Robert Luketic,2026-11-01,
6786,Robert M. Young,2026-02-22,2026-07-21
6787,Robert Maillet,2026-10-26,
6788,Robert Marcarelli,,
6789,Robert McKee,,
6790,Robert Miano,2026-09-25,
6791,Robert Mitchum,2026-08-06,2026-07-01
6792,Robert Moresco,,
6793,Robert Mulligan,2026-08-23,2026-12-20
6794,Robert Neary,2026-03-08,
6795,Robert Noble,,
6796,Robert Pattinson,2026-05-13,
6797,Robert Peters,2026-07-20,
6798,Robert Picardo,2026-10-27,
6799,Robert Pine,2026-07-10,
6800,Robert Pralgo,2026-06-04,
6801,Robert Prosky,2026-12-13,2026-12-08
6802,Robert Redford,2026-08-18,
6803,Robert Ri'chard,2026-01-07,
6804,Robert Rodriguez,2026-06-20,
6805,Robert Rossen,2026-03-16,2026-02-18
6806,Robert Rusler,2026-09-20,
6807,Robert Sarkies,,
6808,Robert Schwentke,,
6809,Robert Shaw,1837-10-10,1863-07-18
6810,Robert Stadlober,2026-08-03,
6811,Robert Stevenson,2026-03-31,2026-04-30
6812,Robert Stromberg,,
6813,Robert Taylor,2026-08-05,2026-06-08
6814,Robert Towne,2026-11-23,
6815,Robert Townsend,2026-02-06,
6816,Robert Turano,,
6817,Robert Urich,2026-12-19,2026-04-16
6818,Robert Vaughn,2026-11-22,2026-11-11
6819,Robert Wagner,2026-02-10,
6820,Robert Wahlberg,2026-06-05,
6821,Robert Wise,2026-09-10,2026-09-14
6822,Robert Zemeckis,2026-05-14,
6823,Roberta Valderrama,,
6824,Roberts Blossom,2026-03-25,2026-07-08
6825,Robin Atkin Downes,2026-09-06,
6826,Robin Bartlett,2026-04-22,
6827,Robin Budd,,
6828,Robin Givens,2026-11-27,
6829,Robin Lord Taylor,2026-06-04,
6830,Robin McLeavy,2026-06-19,
6831,Robin Sachs,2026-02-05,2026-02-01
6832,Robin Shou,2026-07-17,
6833,Robin Weigert,2026-07-07,
6834,Robin Williams,2026-07-21,2026-08-11
6835,Robin Wright,2026-04-08,
6836,Robinne Lee,2026-07-16,
6837,Robinson Devor,,
6838,Robyn Lively,2026-02-07,
6839,Rock Hudson,2026-11-17,2026-10-02
6840,Rod Lurie,2026-05-15,
6841,Rod Steiger,2026-04-14,2026-07-09
6842,Roddy McDowall,2026-09-17,2026-10-03
6843,Rodger Bumpass,2026-11-20,
6844,Rodman Flender,2026-06-09,
6845,Rodney Dangerfield,2026-11-22,2026-10-05
6846,Rodney Eastman,2026-07-20,
6847,Rodrigo Cortés,,
6848,Rodrigo De la Serna,2026-04-18,
6849,Rodrigo García,2026-08-24,
6850,Roger Allam,2026-10-26,
6851,Roger Allers,,
6852,Roger Ashton-Griffiths,2026-01-19,
6853,Roger Avary,2026-08-23,
6854,Roger Bart,2026-09-29,
6855,Roger Christian,2026-02-25,
6856,Roger Cross,2026-09-16,
6857,Roger Donaldson,2026-11-15,
6858,Roger Guenveur Smith,2026-07-27,
6859,Roger Jackson,2026-07-13,
6860,Roger Kumble,2026-05-28,
6861,Roger Lloyd Pack,2026-02-08,2026-01-15
6862,Roger Michell,2026-06-05,
6863,Roger Nygard,2026-03-28,
6864,Roger Rees,2026-05-05,2026-07-10
6865,Roger Spottiswoode,2026-01-05,
6866,Roger Vadim,2026-01-26,2026-02-11
6867,Roger Willie,,
6868,Rohan Sippy,,
6869,Rohit Jagessar,,
6870,Rohit Jugraj,,
6871,Roland Emmerich,2026-11-10,
6872,Roland Joffé,2026-11-17,
6873,Roland Suso Richter,2026-01-07,
6874,Rolando Molina,2026-08-13,
6875,Rollo Weeks,2026-03-20,
6876,Roma Downey,2026-05-06,
6877,Roma Maffia,2026-05-31,
6878,Romain Duris,2026-05-28,
6879,Roman Polanski,2026-08-18,
6880,Romane Bohringer,2026-08-14,
6881,Romany Malco,2026-11-18,
6882,Romeo Miller,2026-08-19,
6883,Romesh Sharma,2026-07-27,
6884,Romi Aboulafia,2026-01-21,
6885,Romola Garai,2026-08-06,
6886,Ron Clements,2026-04-25,
6887,Ron Eldard,2026-02-20,
6888,Ron Fricke,,
6889,Ron Gelner,,
6890,Ron Howard,2026-03-01,
6891,Ron Lester,2026-03-08,
6892,Ron Maxwell,,
6893,Ron Moody,2026-01-08,2026-06-11
6894,Ron Palillo,2026-04-02,2026-08-14
6895,Ron Rifkin,2026-10-31,
6896,Ron Roggé,2026-10-16,
6897,Ron Shelton,,
6898,Ron Silver,2026-07-02,2026-03-15
6899,Ron Underwood,2026-11-06,
6900,Ronald Colman,1891-02-09,2026-05-19
6901,Ronald Neame,2026-04-23,2026-06-16
6902,Ronald Pickup,2026-06-07,
6903,Ronald Reagan,2026-04-19,
6904,Ronan Chapalain,,
6905,Ronee Collins,,
6906,Ronit Elkabetz,2026-11-27,2026-04-19
6907,Ronnie Gene Blevins,2026-06-20,
6908,Ronnie Lazaro,2026-11-14,
6909,Ronny Cox,,
6910,Ronny Dayag,,
6911,Ronny Yu,,
6912,Rorke Denver,,
6913,Rory Cochrane,2026-02-28,
6914,Rory Culkin,2026-07-21,
6915,Rory Kinnear,2026-02-17,
6916,Rosa Salazar,,
6917,Rosalind Ayres,2026-12-07,
6918,Rosalind Chao,2026-09-23,
6919,Rosalind Harris,,
6920,Rosanna Arquette,2026-08-10,
6921,Rosanna DeSoto,2026-09-02,
6922,Rosario Dawson,2026-05-09,
6923,Roschdy Zem,2026-09-28,
6924,Roscoe Lee Browne,2026-05-02,2026-04-11
6925,Rose Marie,2026-08-15,
6926,Roseanne Barr,2026-11-03,
6927,Rosemarie DeWitt,2026-10-26,
6928,Roshan Seth,2026-04-02,
6929,Rosie O'Donnell,2026-03-21,
6930,Rosie Perez,2026-09-06,
6931,Rosie Traynor,,
6932,Ross Elliott,2026-06-18,2026-08-12
6933,Rowan Isaacson,,
6934,Rowan Joffe,,
6935,Rowdy Herrington,,
6936,Roxane Duran,,
6937,Roxanne McKee,2026-08-10,
6938,Roy Billing,,
6939,Roy Dupuis,2026-04-21,
6940,Roy Scheider,2026-11-10,2026-02-10
6941,Royal Dano,2026-11-16,2026-05-15
6942,Ruairi Robinson,2026-02-15,
6943,Ruba Nadda,2026-12-06,
6944,Ruben Fleischer,2026-10-31,
6945,Ruby Dee,2026-10-27,2026-06-11
6946,Ruby Harris,,
6947,Ruby Jerins,2026-04-10,
6948,Ruby Lin,2026-01-27,
6949,Rüdiger Vogler,2026-05-14,
6950,Rudolf Klein-Rogge,1885-11-24,2026-04-30
6951,Rudy Youngblood,2026-09-21,
6952,Rufus Graham,,
6953,Rufus Sewell,2026-10-29,
6954,Ruggero Deodato,2026-05-07,
6955,Rumer Willis,2026-08-16,
6956,Rumi Hiiragi,2026-08-01,
6957,Rumi Missabu,,
6958,Rupert Evans,2026-03-09,
6959,Rupert Everett,2026-05-29,
6960,Rupert Graves,2026-06-30,
6961,Rupert Grint,2026-08-24,
6962,Rupert Sanders,2026-03-16,
6963,Rupert Wainwright,2026-11-30,
6964,Rupert Wyatt,2026-10-26,
6965,Rus Blackwell,2026-03-23,
6966,Russ Meyer,2026-03-21,2026-09-18
6967,Russ Tamblyn,2026-12-30,
6968,Russell Crowe,2026-04-07,
6969,Russell Friedenberg,2026-02-10,
6970,Russell Hodgkinson,2026-08-14,
6971,Russell Holt,,
6972,Russell Mulcahy,2026-06-23,
6973,Russell Peters,2026-09-29,
6974,Russell Tovey,2026-11-14,
6975,Russell Wong,2026-03-01,
6976,Russi Taylor,2026-05-04,
6977,Rusty Cundieff,2026-12-13,
6978,Ruth Negga,2026-01-07,
6979,Ruth Sheen,,
6980,Ruth Wilson,2026-01-13,
6981,Ryan Bollman,2026-08-09,
6982,Ryan Carnes,2026-11-21,
6983,Ryan Cartwright,2026-03-14,
6984,Ryan Coogler,2026-05-23,
6985,Ryan Corr,2026-01-15,
6986,Ryan Donowho,2026-09-20,
6987,Ryan Fleck,2026-09-20,
6988,Ryan Gosling,2026-11-12,
6989,Ryan Guzman,2026-09-21,
6990,Ryan Kennedy,2026-12-06,
6991,Ryan Kruger,,
6992,Ryan Little,2026-03-28,
6993,Ryan McDonald,,
6994,Ryan Murphy,2026-11-30,
6995,Ryan O'Neal,2026-04-20,
6996,Ryan Reynolds,2026-10-23,
6997,Ryan Robbins,2026-11-26,
6998,Ryan Smith,,
6999,Ry?ko Hirosue,2026-07-18,
7000,Ryu Kohata,,
7001,Ry?hei Kitamura,2026-05-30,
7002,Ry?nosuke Kamiki,2026-05-19,
7003,RZA,2026-07-05,
7004,S. Epatha Merkerson,2026-11-28,
7005,S. William Hinzman,2026-10-24,2026-02-05
7006,S.R. Bindler,2026-02-14,
7007,S.S. Rajamouli,,
7008,Saad Siddiqui,2026-04-24,
7009,Sabrina Carmichael,2026-07-11,
7010,Sabrina Ferilli,2026-06-28,
7011,Sabrina Revelle,,
7012,Sacha Bennett,2026-05-11,
7013,Sachiko Ishida,2026-09-12,
7014,Sadyk Sher-Niyaz,2026-03-10,
7015,Saeed Jaffrey,2026-01-08,2026-11-15
7016,Saffron Burrows,2026-10-22,
7017,Sahajak Boonthanakit,,
7018,Sai Varadan,,
7019,Sa?d Taghmaoui,2026-07-19,
7020,Saif Ali Khan,2026-08-16,
7021,Sajid Khan,2026-08-16,
7022,Sakae Kimura,2026-09-06,
7023,Sakina Jaffrey,2026-02-14,
7024,Sal Lopez,2026-11-08,
7025,Sal Mineo,2026-01-10,2026-02-12
7026,Salim Akil,2026-06-22,
7027,Salli Richardson-Whitfield,2026-11-23,
7028,Sally Hawkins,2026-04-27,
7029,Sally Kirkland,2026-10-31,
7030,Sally Potter,2026-09-19,
7031,Salma Hayek,2026-09-02,
7032,Salvador Carrasco,2026-06-16,
7033,Salvator Xuereb,2026-11-17,
7034,Salvatore Santone,2026-07-07,
7035,Sam Adams,,
7036,Sam Anderson,2026-04-02,
7037,Sam Claflin,2026-06-27,
7038,Sam Edwards,2026-11-11,
7039,Sam Fell,,
7040,Sam Firstenberg,2026-03-13,
7041,Sam J. Jones,2026-08-12,
7042,Sam Jaeger,2026-01-29,
7043,Sam Lerner,2026-09-27,
7044,Sam Levinson,,
7045,Sam Lloyd,2026-11-12,
7046,Sam Martin,,
7047,Sam McMurray,2026-04-15,
7048,Sam Medina,,
7049,Sam Mendes,2026-08-01,
7050,Sam Miller,2026-09-28,
7051,Sam Peckinpah,2026-02-21,2026-12-28
7052,Sam Raimi,2026-10-23,
7053,Sam Reid,2026-02-19,
7054,Sam Riley,2026-01-08,
7055,Sam Shepard,2026-11-05,
7056,Sam Taylor-Johnson,2026-03-04,
7057,Sam Trammell,2026-01-29,
7058,Sam Waterston,2026-11-15,
7059,Sam Weisman,,
7060,Samaire Armstrong,2026-10-31,
7061,Samantha Barks,2026-10-02,
7062,Samantha Buck,2026-12-20,
7063,Samantha Eggar,2026-03-05,
7064,Samantha Esteban,2026-10-25,
7065,Samantha Futerman,2026-11-19,
7066,Samantha Ivers,2026-11-29,
7067,Samantha Mathis,2026-05-12,
7068,Samantha McLeod,,
7069,Samantha Morton,2026-05-13,
7070,Sameer Ali Khan,,
7071,Sami Gayle,2026-01-22,
7072,Samira Wiley,,
7073,Samm Levine,2026-03-12,
7074,Sammo Kam-Bo Hung,2026-01-07,
7075,Sammy Davis Jr.,2026-12-08,2026-05-16
7076,Sammy Nagi Njuguna,,
7077,Samuel Davis,2026-12-08,2026-05-16
7078,Samuel Roukin,2026-08-15,
7079,Samuel West,2026-06-19,
7080,Sana Saeed,2026-09-22,
7081,Sanaa Hamri,,
7082,Sanaa Lathan,2026-09-19,
7083,Sandahl Bergman,2026-11-14,
7084,Sandra Echeverría,2026-12-11,
7085,Sandra Ellis Lafferty,2026-08-02,
7086,Sandra Nelson,2026-12-29,
7087,Sandra Staggs,,
7088,Sandra Vergara,,
7089,Sandrine Holt,2026-11-19,
7090,Sandrine Kiberlain,2026-02-25,
7091,Sandy Dennis,,
7092,Sanjay Dutt,2026-07-29,
7093,Sanjay Mishra,,
7094,Sanjay Rawal,,
7095,Sanoe Lake,2026-05-19,
7096,Santiago Cabrera,2026-05-05,
7097,Santiago Segura,2026-07-17,
7098,Sara Forestier,2026-10-04,
7099,Sara Gilbert,2026-01-29,
7100,Sara Newens,,
7101,Sara Stepnicka,,
7102,Sara Stewart,2026-06-28,
7103,Sara Sugarman,2026-10-13,
7104,Sara-Marie Maltha,2026-11-30,
7105,Sarah Butler,2026-02-11,
7106,Sarah Callan,,
7107,Sarah Carter,2026-10-30,
7108,Sarah Clarke,2026-02-16,
7109,Sarah Douglas,2026-12-12,
7110,Sarah Drew,2026-10-01,
7111,Sarah Gadon,2026-04-04,
7112,Sarah Gavron,,
7113,Sarah Kazemy,,
7114,Sarah Lind,2026-07-22,
7115,Sarah Michelle Gellar,2026-04-14,
7116,Sarah Murphy-Dyson,,
7117,Sarah Parish,2026-06-07,
7118,Sarah Polley,2026-01-08,
7119,Sarah Rafferty,2026-12-06,
7120,Sarah Roemer,2026-08-28,
7121,Sarah Silverman,2026-12-01,
7122,Sarah Smith,,
7123,Sarah Solemani,2026-09-04,
7124,Sarah Steele,2026-09-16,
7125,Sarah Wright,2026-09-28,
7126,Sarah Wynter,2026-02-15,
7127,Sarain Boylan,,
7128,Sariann Monaco,,
7129,Sarik Andreasyan,2026-08-24,
7130,Sarita Choudhury,2026-08-18,
7131,Sarunyu Wongkrachang,,
7132,Sasha Alexander,2026-05-17,
7133,Sasha Roiz,2026-10-21,
7134,Satish Kaushik,2026-04-13,
7135,Satoshi Tsumabuki,2026-12-13,
7136,Saul Dibb,,
7137,Saul Stein,,
7138,Saul Williams,2026-09-19,
7139,Saurabh Shukla,2026-03-05,
7140,Sayed Badreya,,
7141,Scandar Copti,,
7142,Scarlett Johansson,2026-11-22,
7143,Scatman Crothers,2026-05-23,2026-11-22
7144,Scoot McNairy,2026-11-11,
7145,Scott A. Martin,,
7146,Scott Adsit,2026-11-26,
7147,Scott Alexander,2026-06-16,
7148,Scott Baio,2026-09-22,
7149,Scott Cohen,2026-12-19,
7150,Scott Cooper,,
7151,Scott Derrickson,2026-07-16,
7152,Scott Dow,,
7153,Scott Elrod,2026-02-10,
7154,Scott Evans,,
7155,Scott Foley,2026-07-15,
7156,Scott Frank,2026-03-10,
7157,Scott Glenn,2026-01-26,
7158,Scott Grimes,2026-07-09,
7159,Scott Handy,2026-07-21,
7160,Scott Helvenston,2026-06-21,2026-03-31
7161,Scott Hicks,2026-03-04,
7162,Scott Kalvert,2026-08-15,2026-03-05
7163,Scott Lawrence,2026-09-27,
7164,Scott Levy,,
7165,Scott Mann,,
7166,Scott Marshall,,
7167,Scott Mechlowicz,2026-01-17,
7168,Scott Patterson,2026-09-11,
7169,Scott Porter,2026-07-14,
7170,Scott Reeves,2026-05-16,
7171,Scott Schwartz,,
7172,Scott Smith,2026-07-13,
7173,Scott Speer,,
7174,Scott Stewart,2026-10-09,
7175,Scott Takeda,2026-03-21,
7176,Scott Vance,2026-02-22,
7177,Scott Walker,,
7178,Scott Waugh,,
7179,Scott Weinger,2026-10-05,
7180,Scott Wolf,2026-06-04,
7181,Scott Ziehl,,
7182,Scout Taylor-Compton,2026-02-21,
7183,Seamus Davey-Fitzpatrick,2026-12-29,
7184,Sean Anders,,
7185,Sean Buchanan,2026-09-30,
7186,Sean Byrne,,
7187,Sean Cameron Michael,2026-12-24,
7188,Sean Connery,2026-08-25,
7189,Sean Cook,,
7190,Sean Durkin,,
7191,Sean Harris,,
7192,Sean Hayes,2026-06-26,
7193,Sean Huze,2026-01-18,
7194,Sean Keenan,2026-01-18,
7195,Sean Kingston,2026-02-03,
7196,Sean Lennon,2026-10-09,
7197,Sean Maher,2026-04-16,
7198,Sean McNamara,2026-05-09,
7199,Sean Michael Afable,2026-11-20,
7200,Sean Patrick Thomas,2026-12-17,
7201,Sean Penn,2026-08-17,
7202,Sean Pertwee,2026-06-04,
7203,Sean Rogerson,2026-09-30,
7204,Sean Whalen,2026-05-19,
7205,Sean Young,2026-11-20,
7206,Sebastian Aguilar,,
7207,Sebastian Blomberg,2026-05-24,
7208,Sebastian Koch,2026-05-31,
7209,Sebastian Roché,,
7210,Sebastian Schipper,2026-05-08,
7211,Sedona James,,
7212,Sedona Legge,,
7213,Seema Biswas,,
7214,Sela Ward,2026-07-11,
7215,Selton Mello,2026-12-30,
7216,Sendhil Ramamurthy,2026-05-17,
7217,Ser'Darius Blain,,
7218,Serdar Akar,,
7219,Seregon O'Dassey,2026-07-03,
7220,Serena Grandi,2026-03-23,
7221,Serena Scott Thomas,2026-09-21,
7222,Sergej Trifunovic,2026-09-02,
7223,Sergey Bodrov,2026-06-28,
7224,Sergey Bondarchuk,2026-09-25,2026-10-20
7225,Sergey Garmash,2026-09-01,
7226,Sergi López,2026-12-22,
7227,Sergio Calderón,2026-12-09,2026-01-26
7228,Sergio Leone,2026-01-03,2026-04-30
7229,Sessue Hayakawa,1889-06-10,2026-11-23
7230,Seth Ackerman,,
7231,Seth Gabel,2026-10-03,
7232,Seth Gilliam,2026-11-05,
7233,Seth Gordon,,
7234,Seth MacFarlane,2026-10-26,
7235,Seth Meyers,2026-12-28,
7236,Seu Jorge,2026-06-08,
7237,Seychelle Gabriel,2026-03-25,
7238,Seymour Cassel,2026-01-22,
7239,Shabana Azmi,2026-09-18,
7240,Shad Moss,2026-03-09,
7241,Shah Rukh Khan,2026-11-02,
7242,Shahab Hosseini,2026-02-03,
7243,Shahir Kabaha,,
7244,Shailene Garnett,,
7245,Shailene Woodley,2026-11-15,
7246,Shakti Kapoor,2026-09-03,
7247,Shana Feste,2026-08-28,
7248,Shane Acker,,
7249,Shane Black,2026-12-16,
7250,Shane Brolly,2026-03-06,
7251,Shane Carruth,,
7252,Shane Dawson,,
7253,Shane Hartline,,
7254,Shane Meadows,2026-12-26,
7255,Shane Pollard,,
7256,Shane Rangi,2026-02-03,
7257,Shanley Caswell,2026-12-03,
7258,Shannen Fields,,
7259,Shannon Elizabeth,2026-09-07,
7260,Shannon Tweed,2026-03-10,
7261,Shannon Woodward,2026-12-17,
7262,Shantel VanSanten,2026-07-25,
7263,Sharat Saxena,2026-08-17,
7264,Shari Albert,2026-07-09,
7265,Shari Springer Berman,2026-07-13,
7266,Sharlto Copley,2026-11-27,
7267,Sharon Greytak,,
7268,Sharon Lawrence,2026-06-29,
7269,Sharon Leal,2026-10-17,
7270,Sharon Maguire,,
7271,Sharon Small,2026-01-01,
7272,Sharron Miller,,
7273,Shaun Evans,,
7274,Shaun O'Hagan,2026-07-24,
7275,Shaun Parkes,2026-02-09,
7276,Shaun Sipos,2026-10-30,
7277,Shaun Toub,,
7278,Shaun Weiss,2026-08-27,
7279,Shauna Macdonald,2026-10-06,
7280,Shawn Andrews,2026-10-15,
7281,Shawn Christian,2026-12-18,
7282,Shawn Doyle,,
7283,Shawn Hatosy,2026-12-29,
7284,Shawn Levy,2026-07-23,
7285,Shawn Parsons,2026-07-03,
7286,Shawn Roberts,,
7287,Shawn Yue,2026-11-13,
7288,Shawna Waldron,2026-01-25,
7289,Shawnee Smith,2026-07-03,
7290,Shazahn Padamsee,2026-10-19,
7291,Shea Whigham,2026-01-05,
7292,Sheila Hancock,2026-02-22,
7293,Shekar,,
7294,Shekhar Kapur,2026-12-06,
7295,Shelby Vischer,,
7296,Sheldon Bailey,,
7297,Sheldon Leonard,2026-02-22,2026-01-10
7298,Sheldon Lettich,2026-01-14,
7299,Shelley Conn,2026-09-21,
7300,Shelley Duvall,2026-07-07,
7301,Shelley Hennig,2026-01-02,
7302,Shelley Long,2026-08-23,
7303,Shelley Waggener,2026-09-30,
7304,Shelley Winters,2026-08-18,2026-01-14
7305,Shelly Varod,,
7306,Shenae Grimes-Beech,2026-10-24,
7307,Shengyi Huang,2026-02-11,
7308,Sheridan Smith,2026-06-25,
7309,Sherman Alexie,2026-10-07,
7310,Sherman Hemsley,2026-02-01,2026-07-24
7311,Sherri Shepherd,2026-04-22,
7312,Sheryl Crow,2026-02-11,
7313,Sheryl Lee,2026-12-30,
7314,Shid? Nakamura,2026-09-14,
7315,Shigeo Kobayashi,,
7316,Shimit Amin,,
7317,Shin'ya Tsukamoto,2026-01-01,
7318,Shinji Aramaki,2026-10-02,
7319,Shinobu Terajima,2026-12-28,
7320,Shintaro Shimosawa,,
7321,Shiree Nelson,2026-09-12,
7322,Shiri Appleby,2026-12-07,
7323,Shirley Douglas,2026-04-02,
7324,Shirley Henderson,2026-11-24,
7325,Shirley Jones,2026-03-31,
7326,Shirley Knight,2026-07-05,
7327,Sh? Kosugi,2026-05-25,
7328,Shobu Kapoor,,
7329,Shona Auerbach,,
7330,Shona Kay,,
7331,Shriman Umeshanad Brahmachari,,
7332,Shriya Saran,2026-09-11,
7333,Shun Oguri,2026-12-26,
7334,Shyam Madiraju,,
7335,Si Won Choi,2026-04-07,
7336,Sid Caesar,2026-09-08,2026-02-12
7337,Sid Haig,2026-07-14,
7338,Siddharth Anand,,
7339,Siddiq Barmak,2026-09-07,
7340,Sidney J. Furie,2026-02-28,
7341,Sidney James,2026-05-08,2026-04-26
7342,Sidney Lumet,2026-06-25,2026-04-09
7343,Sienna Beckman,,
